"Episode Name","Date Posted","Video Link","Description"
"Mai Am Gia Dinh Viet - Episode 183","April 24, 2026","https://youtu.be/nx7_UYVzRGo","Episode 183 - The warm Vietnamese family with the guidance of MC Thanh Thao, Boxer Truong Dinh Hoang - Singer Mai Phuong together overcame challenges to help 3 situations: Le Anh Ngoc Diem, Luong Tan Dat and Le Thi Hong Nhu, bringing home many valuable rewards to help cover their lives."
"Mai Am Gia Dinh Viet - Episode 182","April 17, 2026","https://youtu.be/Wh6SZ2EQT2Y","Episode 182 - Vietnamese Family Home with the guidance of MC Dai Nghia, Singer-songwriter Nguyen Dinh Vu - Singer Phuong Anh Bolero together overcame challenges to help 3 situations: Tran Khai Minh, Nguyen Thao Van and Ta Quang Phu, bringing back many valuable rewards to help cover their lives."
"Mai Am Gia Dinh Viet - Episode 181","April 10, 2026","https://youtu.be/PTXWpKPEnTc","Episode 181 - The warm Vietnamese family with the guidance of MC Duong Hong Phuc, Actor Duc Khue, and actor Thanh Huong together overcame challenges to help 3 people in need: Tran Thanh Thuy, Ngo Minh Duong and Bui Hai Dang, bringing back many valuable rewards to help cover their lives."
"Mai Am Gia Dinh Viet - Episode 180","April 3, 2026","https://youtu.be/nR4y8Hi94V0","Episode 180 - Vietnamese Family Home with the guidance of MC Thanh Thao, Singer Bui Truong Linh - Singer - Runner-up Hellen together overcame challenges to help 3 situations: Nguyen Phuong Thao, Bui Minh Ngoc and Nguyen Dieu Linh, bringing home many valuable rewards to help cover their lives."
"Mai Am Gia Dinh Viet - Episode 179","March 27, 2026","https://youtu.be/cTsc3db9Ti0","Episode 179 - Vietnamese Family Home with the guidance of MC Duong Hong Phuc, Actor Dinh Tu - Actress Ngoc Huyen together overcame challenges to help 3 situations: Ninh Thi Yen Trang, Tran Thi Thu Hue and Nguyen Hai Yen, bringing back many valuable rewards to help cover their lives."
"Mai Am Gia Dinh Viet - Episode 178","March 20, 2026","https://youtu.be/9VPCArT2018","Episode 178 - Vietnamese family home with the guidance of MC Minh Du, Miss Do Thi Ha - Player Ha Duc Chinh together overcame challenges to help 3 situations: Nguyen Thi Thao, Nguyen Thi Huyen and Pham Nguyen Chien, bringing back many valuable rewards to help cover their lives."
"Mai Am Gia Dinh Viet - Episode 177","March 13, 2026","https://youtu.be/L8X9R3k0Zh4","Episode 177 - The Vietnamese family's warm home with the guidance of MC Thanh Thao, Singer Hang Bing Boong - Goalkeeper Dinh Trieu together overcame challenges to help 3 situations: Trinh Minh Phuong, Vuong Duc Viet Anh and Tran Gia Huy, bringing back many valuable rewards to help cover their lives."
"Mai Am Gia Dinh Viet - Episode 176","March 6, 2026","https://youtu.be/wgzEVX4yG0M","Episode 176 - Vietnamese Family Home with the guidance of MC Oc Thanh Van, Singer Cuong Seven - Content creator Hau Hoang together overcame challenges to help 3 situations: Le Ha Huyen Trang, Pham Hai Yen and Nguyen Ba Phat, bringing home many valuable rewards to help cover their lives."
"Mai Am Gia Dinh Viet - Episode 175","February 27, 2026","https://youtu.be/4g87MXCejDs","Episode 175 - Vietnamese Family Home with the guidance of MC Huynh Lap, Actor Puka - Actor Le Nhan together overcame challenges to help 3 situations: Nguyen Hoang Tam, Ho Van Vinh and Dao Hai Kim, bringing back many valuable rewards to help cover their lives."
"Mai Am Gia Dinh Viet - Episode 172","February 6, 2026","https://youtu.be/YlFDoHk2i8Y","Episode 172 - Vietnamese Family Warm Home with the guidance of MC Dai Nghia, Actor, Singer Nham Phuong Nam - Singer Lam Bao Ngoc together overcame challenges to help 3 situations: Nguyen Thi Y Nhu, Nguyen Thi Huong Lien and Huynh Yen bringing back many valuable rewards to help cover their lives."
"Mai Am Gia Dinh Viet - Episode 171","January 30, 2026","https://youtu.be/8rI1fOk_sQs","Episode 171 - The warm Vietnamese family with the guidance of MC Thanh Thao, Actor Huy Khanh - Actress Van Trang together overcame challenges to help 3 people in difficult situations, namely Thach Thi Thu Thuy, Nguyen Van Hong and Huynh Thi Mai Phuong, bringing back many valuable rewards to help cover their lives."
"Mai Am Gia Dinh Viet - Episode 170","January 23, 2026","https://youtu.be/DEnnQwS9Arc","Episode 170 - Vietnamese Family Home with the guidance of MC Thai Vu, Actor Vinh Rau - Singer Hoang Duyen together overcame challenges to help 3 situations: Dang Nguyen Ngoc My Hoa, Tran Thi Kieu My and Phan Huynh Nhu Ngoc, bringing home many valuable rewards to help cover their lives."
"Mai Am Gia Dinh Viet - Episode 169","January 16, 2026","https://youtu.be/LMJhCYlNiOQ","Episode 169 - The warm Vietnamese family with the guidance of MC Dai Nghia, Singer Luong Bich Huu - Actress Minh Du together overcame challenges to help 3 disadvantaged children, Truong Thi Nhu Y, Thach Thi Bich Tuyen and Le Thi My Duyen, bringing home many valuable rewards to help cover their lives."
